Date,QTY,Item,Serial,Location,Notes
2026-06-18,1,HP EliteBook 820-G3 i7-6th,,D-1,
2026-06-18,1,HP EliteBook 820-G4 i5-7th,,D-1,
2026-06-18,5,HP Z-Book G3 i7-6th,,E-1,
2026-06-18,2,HP Z-Book G4 i7-7th,,E-1,
2026-06-18,3,HP ProBook 430-G5 i5-8th,,E-2,
2026-06-18,1,HP ProBook 440-G6 i5-8th,,E-2,
2026-06-18,1,HP ProBook 650-G5 i5-7th,,E-3,
2026-06-18,1,HP EliteBook 840 G5 i5-7th,,E-4,
2026-06-18,1,HP EliteBook 840-G5 i5-8th,,E-4,
2026-06-18,3,HP ENVY 15 6th-7th,,E-4,
2026-06-18,1,HP ENVY 360 i5-7th,,E-4,
2026-06-18,1,HP ENVY X360 CONVERTIBLE 6th-7th,,E-4,
2026-06-18,1,HP ENVY X360 i7-8th,,E-4,
2026-06-18,1,HP Laptop15 Pavillion i5-7th,,E-4,
2026-06-18,1,HP Notebook Pavillion i5-7th,,E-4,
2026-06-18,3,HP EliteBook Folio 1030 G3 i5-7th,,F-1,
2026-06-18,17,HP EliteBook Folio 1030-G3 6th-7th,,F-1,
2026-06-18,1,HP EliteBook 850-G5 i5-8th,,F-2,
2026-06-18,1,HP 450-G4 HP ProBook i5-7th,,F-3,
2026-06-18,3,HP ProBook 450-G4 i5-7th,,F-3,
2026-06-18,2,Lenovo ThinkPad E470 i5-7th,,G-2,
2026-06-18,3,Lenovo ThinkPad T-470 i5-6th,,G-2,
2026-06-18,10,Lenovo ThinkPad T-470 i7-6th,,G-3,
2026-06-18,2,Lenovo IdeaPad 15 805m AMD,,J-2,
2026-06-18,2,Dell Latitude 5470 i5-6th,,L-1,
2026-06-18,1,Dell Latitude 7400 i7-8th,,L-1,
2026-06-18,5,Dell Latitude 7490 i7-8th,,L-1,
2026-06-18,1,Dell Latitude 5490 i5-8th,,L-3,Laser Etched
2026-06-18,4,Dell Latitude 7480 i7-7th,,L-3,
2026-06-18,1,Dell Latitude 7290 i5-8th,,m-3,
2026-06-18,1,Dell Inspiron X360 15 i5-7th,,N-1,
2026-06-18,1,Dell Latitude 3390 2-in-1 i5-7th,,N-2,
